id,company,name,overview,responsibilities,qualifications,optional_qualifications,location,benefits,remote,created_at,updated_at,is_open
a490a028-c5b8-4b67-9b89-238f6f75f17c,OpenAI,Machine Learning Engineer,"As a Machine Learning Engineer at OpenAI, you will work on cutting-edge AI models, focusing on improving their performance and scalability. You will collaborate with researchers and engineers to deploy models in production environments.","Develop and implement AI/ML models,Collaborate with cross-functional teams,Stay up-to-date with latest AI research,Optimize model performance and scalability","Bachelor's degree in Computer Science or related field,Experience with Python, TensorFlow, PyTorch,Strong understanding of machine learning algorithms,Experience with large-scale data processing","Master's or PhD in AI/ML,Experience with cloud platforms (AWS, GCP, Azure),Publications in top AI conferences,Experience with MLOps and model deployment",0f2fce3f-36f8-46da-8d53-ec1036b907fb,"Competitive salary and equity,Health, dental, and vision insurance,Flexible work arrangements,Professional development opportunities,401(k) matching",true,2025-08-27T21:55:25.984Z,2025-08-27T21:55:25.985Z,true
c0af767f-a14e-4b6d-b637-d3624453260c,OpenAI,Research Scientist,"The Research Scientist role involves conducting innovative research in AI and machine learning, publishing papers, and contributing to OpenAI's mission of ensuring that artificial general intelligence benefits all of humanity.","Develop and implement AI/ML models,Collaborate with cross-functional teams,Stay up-to-date with latest AI research,Optimize model performance and scalability","Bachelor's degree in Computer Science or related field,Experience with Python, TensorFlow, PyTorch,Strong understanding of machine learning algorithms,Experience with large-scale data processing","Master's or PhD in AI/ML,Experience with cloud platforms (AWS, GCP, Azure),Publications in top AI conferences,Experience with MLOps and model deployment",0f2fce3f-36f8-46da-8d53-ec1036b907fb,"Competitive salary and equity,Health, dental, and vision insurance,Flexible work arrangements,Professional development opportunities,401(k) matching",true,2025-08-27T21:55:25.985Z,2025-08-27T21:55:25.985Z,true
f63f7baa-7ba3-4e54-a7f6-8123bfe24bdf,OpenAI,Software Engineer,Join OpenAI as a Software Engineer to build and maintain the infrastructure that supports our AI models. You will work on developing scalable systems and tools that enhance the efficiency of our research and deployment processes.,"Develop and implement AI/ML models,Collaborate with cross-functional teams,Stay up-to-date with latest AI research,Optimize model performance and scalability","Bachelor's degree in Computer Science or related field,Experience with Python, TensorFlow, PyTorch,Strong understanding of machine learning algorithms,Experience with large-scale data processing","Master's or PhD in AI/ML,Experience with cloud platforms (AWS, GCP, Azure),Publications in top AI conferences,Experience with MLOps and model deployment",0f2fce3f-36f8-46da-8d53-ec1036b907fb,"Competitive salary and equity,Health, dental, and vision insurance,Flexible work arrangements,Professional development opportunities,401(k) matching",true,2025-08-27T21:55:25.985Z,2025-08-27T21:55:25.985Z,true
a484d69c-9796-49d3-8402-3c7b1e16de77,OpenAI,AI Policy Researcher,"As an AI Policy Researcher, you will analyze the societal impacts of AI technologies and help shape policies that ensure their ethical and beneficial use. You will work closely with technical teams to align policy with technological advancements.","Develop and implement AI/ML models,Collaborate with cross-functional teams,Stay up-to-date with latest AI research,Optimize model performance and scalability","Bachelor's degree in Computer Science or related field,Experience with Python, TensorFlow, PyTorch,Strong understanding of machine learning algorithms,Experience with large-scale data processing","Master's or PhD in AI/ML,Experience with cloud platforms (AWS, GCP, Azure),Publications in top AI conferences,Experience with MLOps and model deployment",0f2fce3f-36f8-46da-8d53-ec1036b907fb,"Competitive salary and equity,Health, dental, and vision insurance,Flexible work arrangements,Professional development opportunities,401(k) matching",true,2025-08-27T21:55:25.985Z,2025-08-27T21:55:25.985Z,true
90a87681-5e81-494d-9f18-95e56ea7f921,OpenAI,Data Scientist,The Data Scientist role at OpenAI involves analyzing large datasets to extract insights that inform the development of AI models. You will work with cross-functional teams to design experiments and interpret data-driven results.,"Develop and implement AI/ML models,Collaborate with cross-functional teams,Stay up-to-date with latest AI research,Optimize model performance and scalability","Bachelor's degree in Computer Science or related field,Experience with Python, TensorFlow, PyTorch,Strong understanding of machine learning algorithms,Experience with large-scale data processing","Master's or PhD in AI/ML,Experience with cloud platforms (AWS, GCP, Azure),Publications in top AI conferences,Experience with MLOps and model deployment",0f2fce3f-36f8-46da-8d53-ec1036b907fb,"Competitive salary and equity,Health, dental, and vision insurance,Flexible work arrangements,Professional development opportunities,401(k) matching",true,2025-08-27T21:55:25.985Z,2025-08-27T21:55:25.985Z,true
9bd239c4-287a-43be-88fb-f9ada3f7c10e,DeepMind,"Research Scientist, Machine Learning","As a Research Scientist at DeepMind, you will work on developing novel machine learning algorithms and models. You will collaborate with a team of researchers and engineers to advance the state-of-the-art in AI and apply these advancements to real-world problems.","Develop and implement AI/ML models,Collaborate with cross-functional teams,Stay up-to-date with latest AI research,Optimize model performance and scalability","Bachelor's degree in Computer Science or related field,Experience with Python, TensorFlow, PyTorch,Strong understanding of machine learning algorithms,Experience with large-scale data processing","Master's or PhD in AI/ML,Experience with cloud platforms (AWS, GCP, Azure),Publications in top AI conferences,Experience with MLOps and model deployment",8bc525b1-4896-428f-a63f-b47a2e0a6e77,"Competitive salary and equity,Health, dental, and vision insurance,Flexible work arrangements,Professional development opportunities,401(k) matching",false,2025-08-27T21:55:33.685Z,2025-08-27T21:55:33.685Z,true
654f6e91-aa43-4885-b1a2-a7018bdd172f,DeepMind,"Software Engineer, AI Infrastructure","In this role, you will design and build scalable infrastructure to support AI research and deployment. You will work closely with researchers to understand their needs and develop tools and systems that enhance productivity and innovation.","Develop and implement AI/ML models,Collaborate with cross-functional teams,Stay up-to-date with latest AI research,Optimize model performance and scalability","Bachelor's degree in Computer Science or related field,Experience with Python, TensorFlow, PyTorch,Strong understanding of machine learning algorithms,Experience with large-scale data processing","Master's or PhD in AI/ML,Experience with cloud platforms (AWS, GCP, Azure),Publications in top AI conferences,Experience with MLOps and model deployment",5381b92a-c3f5-4e2e-b07c-2125112957b4,"Competitive salary and equity,Health, dental, and vision insurance,Flexible work arrangements,Professional development opportunities,401(k) matching",false,2025-08-27T21:55:33.685Z,2025-08-27T21:55:33.685Z,true
55e93313-5b3b-47e9-a74a-eb549acc68fc,DeepMind,"Research Engineer, Reinforcement Learning","As a Research Engineer specializing in Reinforcement Learning, you will develop and implement algorithms that enable agents to learn from interactions with their environment. You will work on cutting-edge projects that push the boundaries of what is possible with AI.","Develop and implement AI/ML models,Collaborate with cross-functional teams,Stay up-to-date with latest AI research,Optimize model performance and scalability","Bachelor's degree in Computer Science or related field,Experience with Python, TensorFlow, PyTorch,Strong understanding of machine learning algorithms,Experience with large-scale data processing","Master's or PhD in AI/ML,Experience with cloud platforms (AWS, GCP, Azure),Publications in top AI conferences,Experience with MLOps and model deployment",8bc525b1-4896-428f-a63f-b47a2e0a6e77,"Competitive salary and equity,Health, dental, and vision insurance,Flexible work arrangements,Professional development opportunities,401(k) matching",false,2025-08-27T21:55:33.685Z,2025-08-27T21:55:33.685Z,true
d2c5ddb2-17b9-4f91-aecb-3696a0dda80f,DeepMind,AI Residency Program,"The AI Residency Program is a one-year research training program designed to jumpstart a career in AI research. Residents will work on a variety of projects, gaining hands-on experience and mentorship from leading AI researchers.","Develop and implement AI/ML models,Collaborate with cross-functional teams,Stay up-to-date with latest AI research,Optimize model performance and scalability","Bachelor's degree in Computer Science or related field,Experience with Python, TensorFlow, PyTorch,Strong understanding of machine learning algorithms,Experience with large-scale data processing","Master's or PhD in AI/ML,Experience with cloud platforms (AWS, GCP, Azure),Publications in top AI conferences,Experience with MLOps and model deployment",8bc525b1-4896-428f-a63f-b47a2e0a6e77,"Competitive salary and equity,Health, dental, and vision insurance,Flexible work arrangements,Professional development opportunities,401(k) matching",false,2025-08-27T21:55:33.685Z,2025-08-27T21:55:33.685Z,true
7cfa7ce3-5b6b-4549-8fc5-acf91f96f12b,DeepMind,"Product Manager, AI Products","As a Product Manager, you will lead the development and launch of AI-driven products. You will work with cross-functional teams to define product vision, strategy, and roadmap, ensuring alignment with DeepMind's mission and goals.","Develop and implement AI/ML models,Collaborate with cross-functional teams,Stay up-to-date with latest AI research,Optimize model performance and scalability","Bachelor's degree in Computer Science or related field,Experience with Python, TensorFlow, PyTorch,Strong understanding of machine learning algorithms,Experience with large-scale data processing","Master's or PhD in AI/ML,Experience with cloud platforms (AWS, GCP, Azure),Publications in top AI conferences,Experience with MLOps and model deployment",5381b92a-c3f5-4e2e-b07c-2125112957b4,"Competitive salary and equity,Health, dental, and vision insurance,Flexible work arrangements,Professional development opportunities,401(k) matching",false,2025-08-27T21:55:33.685Z,2025-08-27T21:55:33.685Z,true
